PairID,TableA_Schema,TableB_Schema,IsUnionable,DemographicAttr,CaucasianFraction,AfricanAmericanFraction,DominantGroup,Composition,PerturbationLevel,SchemaMatch,N_Rows_A,N_Rows_B
72,"['FullName', 'Ethnic_Code_Text', 'Sex_Code_Text', 'MaritalStatus']","['FullName', 'Ethnic_Code_Text', 'Sex_Code_Text', 'MaritalStatus']",1,Ethnicity,0.2,0.8,African-American,majority_aa,low,True,50,50
73,"['FullName', 'Ethnic_Code_Text', 'Sex_Code_Text', 'MaritalStatus']","['FullName', 'Agency_Text', 'Language']",0,Ethnicity,0.2,0.8,African-American,majority_aa,none,False,50,50
74,"['FullName', 'Ethnic_Code_Text', 'Sex_Code_Text', 'MaritalStatus']","['FullName', 'Ethnic_Code_oText', 'Sex_Code_Text', 'MaritalSttus']",1,Ethnicity,0.2,0.8,African-American,majority_aa,high,False,50,50
75,"['FullName', 'Ethnic_Code_Text', 'Sex_Code_Text', 'MaritalStatus']","['FullName', 'Ethnic_Code_Text', 'Sex_Code_Text', 'MaritalStatus']",1,Ethnicity,0.2,0.8,African-American,majority_aa,low,True,50,50
76,"['FullName', 'Ethnic_Code_Text', 'Sex_Code_Text', 'MaritalStatus']","['FullName', 'Agency_Text', 'Language']",0,Ethnicity,0.2,0.8,African-American,majority_aa,none,False,50,50
77,"['FullName', 'Ethnic_Code_Text', 'Sex_Code_Text', 'MaritalStatus']","['FullName', 'Ethnic_Code_Texj', 'Sek_Code_Text', 'MaritalStatus']",1,Ethnicity,0.2,0.8,African-American,majority_aa,high,False,50,50
78,"['FullName', 'Ethnic_Code_Text', 'Sex_Code_Text', 'MaritalStatus']","['FullName', 'Ethnic_Code_Text', 'Sex_Code_Text', 'MaritalStatus']",1,Ethnicity,0.2,0.8,African-American,majority_aa,low,True,50,50
79,"['FullName', 'Ethnic_Code_Text', 'Sex_Code_Text', 'MaritalStatus']","['FullName', 'Agency_Text', 'Language']",0,Ethnicity,0.2,0.8,African-American,majority_aa,none,False,50,50
80,"['FullName', 'Ethnic_Code_Text', 'Sex_Code_Text', 'MaritalStatus']","['FullNamu', 'Ethnic_Code_Text', 'Sex_Code_Tet', 'MaritalStatus']",1,Ethnicity,0.2,0.8,African-American,majority_aa,high,False,50,50
81,"['FullName', 'Ethnic_Code_Text', 'Sex_Code_Text', 'MaritalStatus']","['FullName', 'Ethnic_Code_Text', 'Sex_Code_Text', 'MaritalStatus']",1,Ethnicity,0.2,0.8,African-American,majority_aa,low,True,50,50
82,"['FullName', 'Ethnic_Code_Text', 'Sex_Code_Text', 'MaritalStatus']","['FullName', 'Agency_Text', 'Language']",0,Ethnicity,0.2,0.8,African-American,majority_aa,none,False,50,50
83,"['FullName', 'Ethnic_Code_Text', 'Sex_Code_Text', 'MaritalStatus']","['FullName', 'Ethnic_Coude_Text', 'Sex_Code_Texz', 'MaritalStatus']",1,Ethnicity,0.2,0.8,African-American,majority_aa,high,False,50,50
84,"['FullName', 'Ethnic_Code_Text', 'Sex_Code_Text', 'MaritalStatus']","['FullName', 'Ethnic_Code_Text', 'Sex_Code_Text', 'MaritalStatus']",1,Ethnicity,0.2,0.8,African-American,majority_aa,low,True,50,50
85,"['FullName', 'Ethnic_Code_Text', 'Sex_Code_Text', 'MaritalStatus']","['FullName', 'Agency_Text', 'Language']",0,Ethnicity,0.2,0.8,African-American,majority_aa,none,False,50,50
86,"['FullName', 'Ethnic_Code_Text', 'Sex_Code_Text', 'MaritalStatus']","['FulbName', 'Ethnic_Code_Text', 'Sex_Code_Text', 'MaritmalStatus']",1,Ethnicity,0.2,0.8,African-American,majority_aa,high,False,50,50
87,"['FullName', 'Ethnic_Code_Text', 'Sex_Code_Text', 'MaritalStatus']","['FullName', 'Ethnic_Code_Text', 'Sex_Code_Text', 'MaritalStatus']",1,Ethnicity,0.2,0.8,African-American,majority_aa,low,True,50,50
88,"['FullName', 'Ethnic_Code_Text', 'Sex_Code_Text', 'MaritalStatus']","['FullName', 'Agency_Text', 'Language']",0,Ethnicity,0.2,0.8,African-American,majority_aa,none,False,50,50
89,"['FullName', 'Ethnic_Code_Text', 'Sex_Code_Text', 'MaritalStatus']","['FucllName', 'Ethnic_Code_Text', 'Sex_Code_Text', 'MartalStatus']",1,Ethnicity,0.2,0.8,African-American,majority_aa,high,False,50,50
